"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"July 23, 2010","Montefiore Medical Center","","New York","PHYS","MED","16,820","Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.712784","-74.005941"
"July 23, 2010","Medina OB/GYN Associates, Inc","","Ohio","PHYS","MED","1,200","\N
Location of breached information: Paper/Films
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 23, 2010","The University of Texas at Arlington","","Texas","HACK","MED","27,000","A file server at the Office of Health Services was compromised and impermissibly accessed.  The compromise potentially exposed the prescription records of 27,000 individuals to an unauthorized source.  The protected health information involved in the breach included names, addresses diagnostic codes, name of medication prescribed, medication costs and some social security numbers.  Following the discovery of the breach, UTA removed the server from the network, notified the affected individuals and notified local media.  Following the breach, the covered entity also replaced the operating system and implemented additional technical safeguards.
\
Location of breached information: Network Server
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 23, 2010","DC Chartered Health Plan, Inc","","District Of Columbia","PHYS","MED","540","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 28, 2010","Charles Mitchell MD","","Texas","PHYS","MED","6,873","A burglary occurred at the covered entity's (CE) facility and two desktop computers containing protected health information (PHI) were stolen.  Approximately 6873 individuals were affected.  The PHI involved included names, addresses, dates of birth, social security numbers, diagnoses and conditions, medications, and other treatment information.  OCR closed this investigation after determining that the individual who reported the breach worked for a CE no longer in existence.
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 30, 2010","Baylor College of Medicine","","Texas","PHYS","MED","1,646","An unencrypted laptop computer was stolen from an administrative office.  The laptop contained the protected health information (PHI) of approximately 1,618 patients (originally reported as 1,646).  The types of PHI involved in the breach included the demographic and clinical information of pediatric cardiology patients, including names, medical record numbers, dates of service, diagnoses, and dates of birth.  Following the breach, the covered entity (CE), Texas Children’s Hospital, and Baylor College of Medicine (which filed a separate breach report) jointly notified the affected individuals and the local media after a delay due to a law enforcement request.  As a result of OCR’s investigation, the CE revised several information technology policies and modified physical safeguards.
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 30, 2010","Mercer","","","PHYS","MED","1,073","\N
Location of breached information: Other
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","37.090240","-95.712891"
"July 30, 2010","Matrix Imaging","","New York","PHYS","MED","2,631","The covered entity's (CE) business associate (BA) sent coverage determination letters to incorrect addresses, affecting 2,631 individuals.  The protected health information (PHI) included names, addresses, unique CE identification numbers, and prescription drug information.  Following the breach, the CE reprinted all erroneous coverage determination letters with an apology notice and provided breach notification to all affected individuals and HHS.  The CE implemented additional policies and procedures to ensure mailing list accuracy.  Specifically, the CE implemented a multiple-step quality assurance process and established verification with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.  As a result of OCR's investigation, the CE placed a record into its accounting of disclosure records for each individual impacted.
Location of breached information: Paper/Films
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 30, 2010","Carolina Center for Development and Rehabilitation","","North Carolina","PHYS","MED","1,590","The covered entity's (CE) staff inadvertently sent twenty-three boxes containing the protected health information (PHI) of 1,590 patients to a recycling center.  The PHI included patients' full names, addresses, dates of birth, social security numbers, insurance identification numbers, driver's license numbers, diagnoses, medication information, checking and savings account numbers, credit and debit card numbers, and photographs of the patients.  Following the breach, the CE immediately took steps for the records to be returned.  The CE notified HHS, the media, and all individuals affected by the breach, and established a toll free number for patients to call for more information.  The CE cooperated with the state attorney general's investigation and suspended the responsible staff members.  Following OCR's investigation, the CE placed a record into its accounting of disclosure log for each individual affected and terminated the employment of the staff involved in the breach.  In addition, the CE revised its policies and procedures regarding the rights of individuals and safeguards for PHI, and re-trained staff.  
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 30, 2010","WellPoint, Inc.","","Indiana","HACK","MED","31,700","\N
Location of breached information: Network Server
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"July 30, 2010","Texas Children's Hospital","","Texas","PHYS","MED","694","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 3, 2010","Wright State Physicians","","Ohio","UNKN","MED","1,309","On June 11, 2010, a laptop computer containing PHI was mistakenly discarded in the trash. The laptop computer contained the protected health information of approximately 1,309 individuals. The protected health information involved in the breach included patient full names or first initial and last name, dates of service, and in some cases, a brief description of medical condition or care. Following the breach, the covered entity submitted evidence of its progress in implementing encryption on its laptop computers in its various departments.
\
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.417287","-82.907123"
"August 3, 2010","Penn Treaty Network America Insurance Company ","","Pennsylvania","UNKN","MED","560","Social security numbers were inadvertently printed on the address labels in a newsletter mailing.  The mailing had 560 recipients.  The covered entity acted to mitigate the disclosure by verifying that the all mail was correctly delivered.  It also counseled the responsible employee and updated its policies and procedures.
\
Location of breached information: Other
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","41.203322","-77.194525"
"August 5, 2010","Jewish Hospital","","Kentucky","PHYS","MED","2,089","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","37.839333","-84.270018"
"August 5, 2010","McKesson Pharmacy Systems LLC","","Georgia","UNKN","MED","11,440","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 5, 2010","Beauty Dental, Inc.","","Illinois","PHYS","MED","657","Following the breach, the covered entity notified its clients by letter of the incident, submitted a press release that outlined the circumstances of the breach to the Chicago Tribune and the Chicago Sun Times, required the individual who allegedly stole the documents to return all physical patient PHI in her possession and sign a statement swearing that she no longer possessed any patient documents, would not use or disclose the PHI in any manner and would erase an excel spreadsheet she had in her possession, installed a new security system for the office that requires the input of a code specific to each employee, and implemented new technical safeguards that limited employee access to ePHI according to the employee's position and rank.
\
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 5, 2010","Fort Worth Allergy and Asthma Associates","","Texas","PHYS","MED","25,000","Several computers, including a server, were stolen during a burglary at the covered entity's (CE) premises. The breach affected approximately 25,000 individuals and included names, addresses, dates of birth, social security numbers, driver license numbers, diagnoses, and conditions. Following the breach, the CE provided breach notification to affected individuals, the media, and HHS.  It also improved physical security and began using a new model for its management practices with an off-site encrypted database.  After the initiation of OCR'S investigation, the CE amended its business associate agreement.
\
\
\
Location of breached information: Network Server
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 5, 2010","Aultman Hospital","","Ohio","PHYS","MED","13,867","A password-protected laptop, which was maintained by the covered entity (CE), Aultman Hospital, was stolen from an employee’s car, which contained the electronic protected health information (ePHI) of approximately 13,867 individuals, including patients’ names, dates of birth, telephone numbers, social security numbers, insurance identification, and health information related to home health services.  The CE provided breach notification to HHS, affected individuals, and the media, posted notification of the breach on its website, and reported the theft to the local police department.  The CE also offered one year of free credit monitoring services to affected individuals. Following the breach, the CE revised its HIPAA policies and procedures, enhanced encryption and updated software on its laptops, sanctioned employee(s) involved in the breach incident, and retrained its workforce on the revised policies and procedures. OCR obtained documentation evidencing that the CE implemented the corrective actions listed.   
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 9, 2010","UNCG Speech and Hearing Center","","North Carolina","HACK","MED","2,300","Computer malware was detected on the covered entity’s (CE) unencrypted billing software program, “Therapist Helper.”  The CE did not know when the malware entered its system.  Approximately 2,300 individuals were potentially affected by this malware virus.  The types of protected health information (PHI) involved included demographic, financial (claims information), and clinical information (diagnoses/conditions, medications, lab results, and other treatment information).  Following the breach, the CE applied security and privacy safeguards, mitigated harm, and implemented sanctions.  The CE also reported working and cooperating with the local law enforcement.  As a result of OCR’s investigation, the CE implementing processes and deployed software to detect, prevent, and mitigate malware on its computers, installed new computers and systems to segregate electronic PHI, and implemented additional procedures to increase awareness of and ensure compliance with technical and physical safeguards.  The CE also placed an accounting of disclosures in the medical records of the affected individuals, and complied with the applicable notification provisions of the Breach Notification Rule.
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 9, 2010","St. John's Mercy Medical Group","","Missouri","PHYS","MED","1,907","Covered entity improperly disposed of patients' Protected Health Information (PHI), by placing the PHI in a dumpster outside of a doctor's office. The PHI involved in the breach included demographic, financial, clinical, and other medical information. Following the breach, the covered entity notified all affected individuals of the breach, posted a notice about the incident on its website; attempted to retrieve and track all of the medical records that were inappropriately disposed of; offered all affected individuals identity theft protection; obtained a formal apology from and assumed direct office operations management of the physician involved; re-educated its workforce to reinforce policies relating to appropriate medical record protection and disposal requirements.
\
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 9, 2010","Thomas Jefferson University Hospitals, Inc.","","Pennsylvania","PHYS","MED","21,000","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 10, 2010","Mercer Health & Benefits","","Idaho","PHYS","MED","5,500","Idaho Power Group Health Plan's business associate, Mercer Health and Benefits, lost a backup tape as it was being sent via FEDEX from Boise to Seattle. The backup tape contained information of about 375,000 individuals that Mercer serviced. The total affected at Idaho Power was about 5,500 current and former employees and their dependents. The protected health information involved included names, addresses, dates of birth, and social security numbers. Although Mercer concluded that the lost tape was configured so that even a sophisticated user would be unlikely to be able to access the data within, both Mercer and Idaho Power notified all possible affected individuals and offered free credit protection services. To prevent a similar breach from occurring in the future, Mercer now stores backup tapes through a third party vendor who offers secure transport services. Mercer's Boise office now encrypts backup tapes. Following the incident, Idaho Power renegotiated its contract with Mercer and continues to evaluate its business relationship with Mercer.
\
Location of breached information: Other
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 11, 2010","Ward A. Morris, DDS","","Washington","PHYS","MED","2,698","The covered entity’s (CE), computer server containing the electronic protected health information (ePHI) of 2,698 patients was stolen during an office burglary. The server was password-protected but not encrypted. The types of ePHI involved in the breach included names, addresses, dates of birth, social security numbers, and medical information.  The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notice.  Following the breach, the CE encrypted all ePHI on computer workstations and servers. As a result of OCR’s investigation, the CE improved its physical safeguards and retrained employees.
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 11, 2010","Loma Linda University School of Dentistry","","California","PHYS","MED","10,100","Three password protected desktop computers and an auxiliary hard drive containing electronic protected health information (ePHI) was stolen from the covered entity (CE), Redlands Periodontal Group, Loma Linda University School of Dentistry.  The ePHI involved in the breach included the demographic information of 10,100 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, The CE conducted an on-site audit of the periodontal clinic and conducted a risk assessment of the 16 clinics under the purview of the School of Dentistry.  The CE improved safeguards by replacing the clinic’s computers with computers that do not contain local hard drive storage, issuing remote access credentials, relocating paper patient charts, and deactivating access to network resources from the periodontal facility.  It also decommissioned associated equipment and networks, and disposed of computing equipment used in conjunction with daily operations at the periodontal facility.  In addition, the CE retrained staff regarding its HIPAA policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed.
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 16, 2010","Chattanooga Family Practice Associates, P.C.","","Tennessee","PHYS","MED","1,711","A physician of the CE lost a flash drive which he routinely used for data backup and remote access to patient data.  The flash drive contained names, dates of birth and treatment notes for approximately 1,711 patients.  Following the breach, the CE notified affected individuals.  The CE retrained the physician who lost the flash drive and implemented an organization-wide decision to prohibit storage of protected health information on any removable electronic devices.  As a result of OCR’s investigation, the CE notified the media and posting substitute notification on its website. 
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","35.517491","-86.580447"
"August 18, 2010","Yale University","","Connecticut","PHYS","MED","1,000","An unsecured laptop computer containing sensitive protected health information (PHI) involving the Ryan White Part A program, involving approximately 1,000 individuals, was stolen from an office building on Yale’s premises.  The types of PHI contained on the laptop consisted of names, dates of birth, diagnoses/conditions, medications, lab results, and other treatment information.  The covered entity (CE) provided breach notification to HHS, the media and affected individuals.  Following the breach, the CE installed access card readers for entry to the office suite, inspected the facility’s alarm system, replaced custodial staff, and limited cleaning to office hours.  The CE also accelerated the implementation of safeguards created prior to the theft,  implemented mandatory encryption for all mobile devices, and created a new system to ensure all employees complete mandatory Privacy and Security Awareness training.  The CE also revised several policies and procedures on ePHI security.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","41.603221","-73.087749"
"August 20, 2010","Eastmoreland Surgical Clinic, William Graham, DO","","Oregon","PHYS","MED","4,328","Three desktop computers, one laptop computer, and a backup drive, containing the electronic protected health information (EPHI) of 4,328 individuals, were stolen on July 5, 2010.  The EPHI involved in the breach included names, addresses, phone numbers, dates of birth, Social Security numbers, reason for visits, and insurance information.  Following the breach, the covered entity implemented backup and whole disk encryption on electronic information systems that maintain EPHI and improved their physical safeguards.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as password complexity requirements and data backup protocols.
\
Location of breached information: Desktop Computer, Laptop, Other, Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","43.804133","-120.554201"
"August 20, 2010","Cook County Health & Hospitals System","","Illinois","PHYS","MED","7,081","An employee's laptop was stolen out of a locked office; evidence shows that the laptop was password protected but not encrypted.  The laptop contained the protected health information (PHI) of approximately 7,000 individuals.  The PHI stored on the laptop included names, dates of birth, Social Security numbers, internal encounter numbers, and other administrative codes.  Following the breach, the covered entity notified those individuals reasonably believed to have been affected by the breach, placed notice on its website and with a local news center; established stringent computer security guidelines, and retrained its staff in the new requirements with the intention of preventing a similar event from occurring again.
\
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 25, 2010","Pioneer Valley Pathology","","Massachusetts","PHYS","MED","24,750","A Boston Globe employee discovered the unsecured paper medical records of Pioneer Valley Pathology, a group practice with offices inside Holyoke Medical Center (HMC), at a trash transfer station.  The breach affected approximately 24,750 individuals.  The PHI involved in the breach included names, addresses, dates of birth, social security numbers, insurance information, and medical information.  HMC is not the covered entity (CE) responsible for this breach and it field the breach report in error.  OCR provided HMC with technical assistance related to breach notification.  OCR opened a compliance review against the CE responsible for this breach. 
Location of breached information: Paper/Films
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 25, 2010","SunBridge Healthcare Corporation","","New Mexico","PHYS","MED","1,000","A BlackBerry personal digital assistant device, which stored the protected health information (PHI) of 1,000 patients, was stolen from a workforce member.  The types of PHI involved in the breach included names, birthdates, diagnoses/conditions, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media, and offered identity theft protection services to the individuals.  Following the breach, the CE encrypted and password protected all its Blackberry devices.  As a result of OCR’s investigation, the CE changed its Blackberry encryption policy.  
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 26, 2010","KPMG LLP","","New York","PHYS","MED","956","OCR opened an investigation of the covered entity (CE), Newark Beth Israel Medical Center, after it reported an employee of the CE's business associate (BA), KPMG LLP, lost an unencrypted USB drive that contained the electronic protected health information (ePHI) of 956 individuals.  The ePHI included names and clinical information.  Upon discovery of the breach, the CE's BA conducted a search of the area.  The CE provided breach notification to HHS, the Media and affected individuals.  As a result of OCR's investigation, the BA installed and implemented encryption software to its electronic equipment and devices.  In addition, the BA encrypted and password protected all equipment and devices that could contain the CE's data.  The BA also reprimanded and retrained the employee and retrained all employees on safeguarding ePHI.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"August 27, 2010","NYU School of Medicine--Aging and Dementia Clinical Research Center ","","New York","PHYS","MED","1,200","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 7, 2010","Aon Consulting","","Pennsylvania","UNKN","MED","22,642","The business associate prepared a document as part of a request for proposal for the covered entity's vision benefit program which mistakenly included protected health information of 22,642 individuals.  The document was posted online for five days.  The protected health information involved in the breach included social security numbers, dates of birth, gender, zip codes, and vision plan enrollment information.  In response to this incident, the covered entity implemented additional safeguards to prevent this type of impermissible disclosure of protected health information.  In particular, the covered entity will now require several layers of review before allowing public disclosure of documents prepared by the business associate.  The covered entity also took steps to enforce the requirements of its business associate agreement with Aon Consulting.  Aon will provide affected individuals with free credit monitoring, fraud resolution resources, and identity theft insurance.  Additionally, the business associate has provided assurances to the covered entity that it has taken steps to prevent this type of impermissible disclosure in the future.
\
Location of breached information: Network Server
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 7, 2010","University of Rochester Medical Center and Affiliates","","New York","PHYS","MED","857","\N
Location of breached information: Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 8, 2010","Mayo Clinic","","Minnesota","PHYS","MED","1,740","An employee of the covered entity (CE) impermissibly accessed medical records containing the protected health information (PHI) of 1,740 patients for a period of 4 �� years. The PHI affected by the breach included the demographic information of 691 individuals, and both demographic and clinical information of 1,049 individuals.  Following the breach, the CE conducted an investigation, terminated the involved employee, re-trained its employees regarding patient privacy and access to PHI, and enhanced its supervision and monitoring of employees' PHI access activities. It also provided breach notification to the affected individuals, HHS, and the media, as well as substitute notice on its website.  OCR obtained assurances that the CE completed the voluntary compliance action described above.
\
\
Location of breached information: Electronic Medical Record
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 8, 2010","Curtis R. Bryan, M.D.","","Virginia","PHYS","MED","2,739","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 10, 2010","The Kent Center ","","Rhode Island","PHYS","MED","1,361","A briefcase containing paper documents including the protected health information (PHI) of approximately 1,361 individuals was stolen from an employee’s car. The types of PHI involved in the breach included clients’ names, dates of birth, and for a small number of clients, limited clinical information.  The covered entity (CE), The Kent Center, provided breach notification to affected individuals, the media, and HHS.  Following the breach, the CE sanctioned the employee involved, revised its confidentiality policy related to safeguarding client lists, and re-trained its employees. Additionally, as a result of OCR’s investigation the CE revised and updated its breach notification policies and reinforced the requirements of the Privacy and Breach Rules to its employees.
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 10, 2010","LabCorp Patient Service Center","","Nevada","PHYS","MED","507","\N
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 11, 2010","Pediatric and Adult Allergy, PC","","Iowa","PHYS","MED","19,222","\N
Location of breached information: Other Portable Electronic Device
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 15, 2010","Ault Chiropractic Center","","Indiana","PHYS","MED","2,000","Two unencrypted desktop computers and one unencrypted laptop computer storing electronic protected health information (ePHI) of approximately 2,000 individuals were stolen from the covered entity’s (CE) premises during a break-in on September 15, 2010.  The ePHI involved in the breach included patients’ names, thermal imaging scans, patients’ contact information, insurance information, and social Security numbers.  The CE investigated the incident and reported the theft to the local police department.  It also provided breach notification to HHS, the media, and affected individuals. Following the breach, the CE moved to a new facility with a security system.  As a result of OCR’s investigation, the CE developed and implemented a policy and procedure related to compliance with the Breach Notification Rule.
Location of breached information: Desktop Computer, Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 17, 2010","County of Los Angeles","","California","PHYS","MED","33,000","\N
Location of breached information: Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 19, 2010","Matthew H. Conrad, M.D., P.A.","","Kansas","PHYS","MED","1,200","\N
Location of breached information: Laptop, Paper/Films
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 20, 2010","CareCore National","","South Carolina","UNKN","MED","1,270","\N
Location of breached information: Paper/Films
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 21, 2010","Counseling and Psychotherapy of Throggs Neck","","New York","PHYS","MED","9,000","OCR opened an investigation of the covered entity (CE), Counseling and Psychotherapy of Throggs Neck, after it reported that a password protected, unencrypted desktop computer was stolen which contained the protected health information (PHI) of 9,000 individuals.  The PHI involved in the breach included names, addresses, dates of birth, social security numbers, diagnosis, patient notes and demographics.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE encrypted all of its patient databases and word processing programs on all computers.  The CE improved physical safeguards by changing locks and fixing one of the entrance doors to the building to ensure that it automatically closes.  The CE also placed security guards at all five entrances to the building and installed a video surveillance system.  The CE also implemented internal safeguards and a policy to ensure that the last person in the office ensures rooms are vacant and the suite doors are locked upon leaving.  As a result of OCR’s investigation the CE agreed to include effective dates and revision dates on its policies and to include documentation on the front page of its manual regarding annual reviews of the policies.  
Location of breached information: Desktop Computer
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 22, 2010","Alaskan AIDS Assistance Association","","Alaska","PHYS","MED","2,000","\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 23, 2010","St. Vincent Hospital and Health Care Center, Inc.","","Indiana","PHYS","MED","1,199","\N
Location of breached information: Laptop
Business associate present: No
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.267194","-86.134902"
"September 23, 2010","Oroville Hospital","","California","PHYS","MED","1,474","The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.
\
\
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
"September 23, 2010","Eden Medical Center","","California","PHYS","MED","1,474","The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","2010","40.760537","-73.978890"
